date,usd_krw,kr_base_rate,us_base_rate,rate_diff
2021-12-16,1186.2,1.0,1.4220000505447388,-0.42200005054473877
2021-12-17,1183.5,1.0,1.4019999504089355,-0.40199995040893555
2021-12-20,1184.4,1.0,1.4190000295639038,-0.4190000295639038
2021-12-21,1189.8,1.0,1.4869999885559082,-0.4869999885559082
2021-12-22,1191.5,1.0,1.4570000171661377,-0.4570000171661377
2021-12-23,1191.2,1.0,1.4930000305175781,-0.4930000305175781
2021-12-24,1187.5,1.0,1.4930000305175781,-0.4930000305175781
2021-12-27,1186.4,1.0,1.4809999465942383,-0.4809999465942383
2021-12-28,1186.2,1.0,1.4809999465942383,-0.4809999465942383
2021-12-29,1186.7,1.0,1.5429999828338623,-0.5429999828338623
2021-12-30,1186.6,1.0,1.5149999856948853,-0.5149999856948853
2021-12-31,1185.5,1.0,1.5119999647140503,-0.5119999647140503
2022-01-03,1185.5,1.0,1.628000020980835,-0.628000020980835
2022-01-04,1190.8,1.0,1.6679999828338623,-0.6679999828338623
2022-01-05,1194.3,1.0,1.7050000429153442,-0.7050000429153442
2022-01-06,1198.2,1.0,1.7330000400543213,-0.7330000400543213
2022-01-07,1199.6,1.0,1.7710000276565552,-0.7710000276565552
2022-01-10,1202.4,1.0,1.7799999713897705,-0.7799999713897705
2022-01-11,1200.0,1.0,1.746000051498413,-0.7460000514984131
2022-01-12,1195.2,1.0,1.725000023841858,-0.7250000238418579
2022-01-13,1189.9,1.0,1.7109999656677246,-0.7109999656677246
2022-01-14,1188.2,1.25,1.7719999551773071,-0.5219999551773071
2022-01-17,1187.6,1.25,1.7719999551773071,-0.5219999551773071
2022-01-18,1192.3,1.25,1.8650000095367432,-0.6150000095367432
2022-01-19,1188.9,1.25,1.8270000219345093,-0.5770000219345093
2022-01-20,1191.8,1.25,1.8329999446868896,-0.5829999446868896
2022-01-21,1190.4,1.25,1.746999979019165,-0.49699997901916504
2022-01-24,1193.6,1.25,1.7350000143051147,-0.48500001430511475
2022-01-25,1194.2,1.25,1.7829999923706055,-0.5329999923706055
2022-01-26,1197.8,1.25,1.8480000495910645,-0.5980000495910645
2022-01-27,1197.0,1.25,1.8070000410079956,-0.5570000410079956
2022-01-28,1202.4,1.25,1.781999945640564,-0.531999945640564
2022-02-03,1205.7,1.25,1.8270000219345093,-0.5770000219345093
2022-02-04,1205.4,1.25,1.9299999475479126,-0.6799999475479126
2022-02-07,1199.5,1.25,1.9160000085830688,-0.6660000085830688
2022-02-08,1199.4,1.25,1.9539999961853027,-0.7039999961853027
2022-02-09,1197.8,1.25,1.9290000200271606,-0.6790000200271606
2022-02-10,1196.0,1.25,2.0309998989105225,-0.7809998989105225
2022-02-11,1196.0,1.25,1.9550000429153442,-0.7050000429153442
2022-02-14,1199.6,1.25,1.996000051498413,-0.7460000514984131
2022-02-15,1198.3,1.25,2.0450000762939453,-0.7950000762939453
2022-02-16,1198.5,1.25,2.046999931335449,-0.7969999313354492
2022-02-17,1196.9,1.25,1.972000002861023,-0.722000002861023
2022-02-18,1197.1,1.25,1.9320000410079956,-0.6820000410079956
2022-02-21,1196.4,1.25,1.9320000410079956,-0.6820000410079956
2022-02-22,1194.6,1.25,1.9479999542236328,-0.6979999542236328
2022-02-23,1194.7,1.25,1.9769999980926514,-0.7269999980926514
2022-02-24,1192.1,1.25,1.968999981880188,-0.718999981880188
2022-02-25,1199.4,1.25,1.9859999418258667,-0.7359999418258667
2022-02-28,1202.7,1.25,1.8389999866485596,-0.5889999866485596
2022-03-02,1205.6,1.25,1.8650000095367432,-0.6150000095367432
2022-03-03,1205.0,1.25,1.843999981880188,-0.593999981880188
2022-03-04,1203.6,1.25,1.7239999771118164,-0.4739999771118164
2022-03-07,1211.5,1.25,1.7510000467300415,-0.5010000467300415
2022-03-08,1225.4,1.25,1.871999979019165,-0.621999979019165
2022-03-10,1234.5,1.25,2.010999917984009,-0.7609999179840088
2022-03-11,1228.7,1.25,2.003999948501587,-0.7539999485015869
2022-03-14,1232.4,1.25,2.140000104904175,-0.8900001049041748
2022-03-15,1238.6,1.25,2.1600000858306885,-0.9100000858306885
2022-03-16,1241.7,1.25,2.187999963760376,-0.937999963760376
2022-03-17,1240.4,1.25,2.191999912261963,-0.9419999122619629
2022-03-18,1220.6,1.25,2.1480000019073486,-0.8980000019073486
2022-03-21,1211.1,1.25,2.315000057220459,-1.065000057220459
2022-03-22,1213.7,1.25,2.372999906539917,-1.122999906539917
2022-03-23,1221.4,1.25,2.321000099182129,-1.071000099182129
2022-03-24,1212.7,1.25,2.3410000801086426,-1.0910000801086426
2022-03-25,1219.4,1.25,2.492000102996826,-1.2420001029968262
2022-03-28,1218.3,1.25,2.4769999980926514,-1.2269999980926514
2022-03-29,1225.7,1.25,2.4000000953674316,-1.1500000953674316
2022-03-30,1220.5,1.25,2.3580000400543213,-1.1080000400543213
2022-03-31,1210.8,1.25,2.3269999027252197,-1.0769999027252197
2022-04-01,1210.7,1.25,2.377000093460083,-1.127000093460083
2022-04-04,1216.1,1.25,2.4119999408721924,-1.1619999408721924
2022-04-05,1216.7,1.25,2.555999994277954,-1.305999994277954
2022-04-06,1212.6,1.25,2.6089999675750732,-1.3589999675750732
2022-04-07,1219.1,1.25,2.6519999504089355,-1.4019999504089355
2022-04-08,1218.5,1.25,2.7130000591278076,-1.4630000591278076
2022-04-11,1224.0,1.25,2.7799999713897705,-1.5299999713897705
2022-04-12,1232.0,1.25,2.7249999046325684,-1.4749999046325684
2022-04-13,1236.6,1.25,2.687000036239624,-1.437000036239624
2022-04-14,1227.7,1.5,2.828000068664551,-1.3280000686645508
2022-04-15,1224.2,1.5,2.828000068664551,-1.3280000686645508
2022-04-18,1230.1,1.5,2.861999988555908,-1.3619999885559082
2022-04-19,1232.8,1.5,2.9130001068115234,-1.4130001068115234
2022-04-20,1234.9,1.5,2.8399999141693115,-1.3399999141693115
2022-04-21,1237.1,1.5,2.9170000553131104,-1.4170000553131104
2022-04-22,1236.4,1.5,2.9059998989105225,-1.4059998989105225
2022-04-25,1241.7,1.5,2.8259999752044678,-1.3259999752044678
2022-04-26,1247.1,1.5,2.7720000743865967,-1.2720000743865967
2022-04-27,1248.3,1.5,2.818000078201294,-1.318000078201294
2022-04-28,1263.1,1.5,2.86299991607666,-1.3629999160766602
2022-04-29,1269.4,1.5,2.88700008392334,-1.3870000839233398
2022-05-02,1265.4,1.5,2.996000051498413,-1.496000051498413
2022-05-03,1265.8,1.5,2.9600000381469727,-1.4600000381469727
2022-05-04,1265.7,1.5,2.9170000553131104,-1.4170000553131104
2022-05-06,1261.8,1.5,3.122999906539917,-1.622999906539917
2022-05-09,1272.7,1.5,3.0789999961853027,-1.5789999961853027
2022-05-10,1274.6,1.5,2.993000030517578,-1.4930000305175781
2022-05-11,1275.5,1.5,2.9210000038146973,-1.4210000038146973
2022-05-12,1277.0,1.5,2.816999912261963,-1.316999912261963
2022-05-13,1286.4,1.5,2.934999942779541,-1.434999942779541
2022-05-16,1286.0,1.5,2.877000093460083,-1.377000093460083
