date,dxy,kospi,sp500,dxy_return,kospi_return,sp500_return,kospi_ma20,sp500_ma20,kospi_volatility
2020-01-02,96.8499984741211,2175.169921875,3257.85009765625,,,,,,
2020-01-03,96.83999633789062,2176.4599609375,3234.85009765625,-0.00010327451097624785,0.0005930750740559265,-0.007059870562045378,,,
2020-01-06,96.66999816894531,2155.070068359375,3246.280029296875,-0.0017554541034074944,-0.009827836469323947,0.0035333728907271933,,,
2020-01-07,96.9800033569336,2175.5400390625,3237.179931640625,0.0032068397006328464,0.009498517474519241,-0.0028032386528962228,,,
2020-01-08,97.30000305175781,2151.31005859375,3253.050048828125,0.0032996461512428965,-0.01113745554376988,0.004902451368978156,,,
2020-01-09,97.44999694824219,2186.449951171875,3274.699951171875,0.0015415610665971968,0.016334183181895723,0.006655262605488987,,,
2020-01-10,97.36000061035156,2206.389892578125,3265.35009765625,-0.0009235129882910753,0.009119779483432788,-0.002855178689662563,,,
2020-01-13,97.3499984741211,2229.260009765625,3288.1298828125,-0.00010273352678480396,0.01036540153869936,0.006976215252569862,,,
2020-01-14,97.37000274658203,2238.8798828125,3283.14990234375,0.00020548816409338144,0.004315276371860355,-0.001514532772802224,,,
2020-01-15,97.2300033569336,2230.97998046875,3289.2900390625,-0.0014378082129955505,-0.0035285065556202033,0.0018701968845122874,,,
2020-01-16,97.31999969482422,2248.050048828125,3316.81005859375,0.0009256025381407795,0.007651376753182948,0.00836655302646827,,,
2020-01-17,97.61000061035156,2250.570068359375,3329.6201171875,0.0029798696715652717,0.001120980172378161,0.003862162248501333,,,
2020-01-20,97.61000061035156,2262.639892578125,3329.6201171875,0.0,0.005363007527932062,0.0,,,
2020-01-21,97.52999877929688,2239.68994140625,3320.7900390625,-0.0008196069107103687,-0.01014299767592497,-0.0026519776473655776,,,
2020-01-22,97.52999877929688,2267.25,3321.75,0.0,0.012305300874122738,0.0002890760711180551,,,
2020-01-23,97.69000244140625,2246.1298828125,3325.5400390625,0.0016405584344509894,-0.00931530143896786,0.0011409766124783616,,,
2020-01-24,97.8499984741211,2246.1298828125,3295.469970703125,0.0016377933126863198,0.0,-0.009042160974207403,,,
2020-01-27,97.95999908447266,2246.1298828125,3243.6298828125,0.0011241759025746312,0.0,-0.015730711659182384,,,
2020-01-28,98.0199966430664,2176.719970703125,3276.239990234375,0.0006124699791187904,-0.03090200288082323,0.010053584595046017,,,
2020-01-29,97.98999786376953,2185.280029296875,3273.39990234375,-0.00030604754462615347,0.003932549298468091,-0.0008668741908683941,2214.704968261719,3283.135009765625,37.98608823643441
2020-01-30,97.87000274658203,2148.0,3283.659912109375,-0.0012245649536019032,-0.017059611947705444,0.003134358792605374,2213.346472167969,3284.425500488281,39.9114399612835
2020-01-31,97.38999938964844,2119.010009765625,3225.52001953125,-0.004904499269060891,-0.013496271058833775,-0.01770582037552626,2210.473974609375,3283.9589965820314,44.508583642419204
2020-02-03,97.80000305175781,2118.8798828125,3248.919921875,0.004209915439767009,-6.140931497511382e-05,0.007254613892351713,2208.6644653320313,3284.0909912109373,47.513801145766806
2020-02-04,97.95999908447266,2157.89990234375,3297.590087890625,0.0016359512037047441,0.018415399498463714,0.014980414164082134,2207.7824584960936,3287.1114990234373,48.31798140041312
2020-02-05,98.2699966430664,2165.6298828125,3334.68994140625,0.0031645320691195966,0.0035821774959785557,0.01125059589785371,2208.4984497070313,3291.193493652344,47.53689648625348
2020-02-06,98.5,2227.93994140625,3345.780029296875,0.0023405247256598205,0.028772256556059306,0.003325672876785646,2210.57294921875,3294.7474975585938,47.429248343802854
2020-02-07,98.68000030517578,2211.949951171875,3327.7099609375,0.001827414265743954,-0.007177029298322202,-0.005400853672730133,2210.8509521484375,3297.8654907226564,47.419733195128536
2020-02-10,98.83000183105469,2201.070068359375,3352.090087890625,0.001520080314298955,-0.00491868399044737,0.007326397804890528,2209.441455078125,3301.0635009765624,47.262441678670086
2020-02-11,98.72000122070312,2223.1201171875,3357.75,-0.0011130285167818554,0.010017876825048289,0.0016884725532351208,2208.653466796875,3304.793505859375,46.8755888295181
2020-02-12,99.05000305175781,2238.3798828125,3379.449951171875,0.0033428061889597682,0.006864121064364959,0.006462646466197652,2209.0234619140624,3309.3015014648436,47.08980468649101
2020-02-13,99.06999969482422,2232.9599609375,3373.93994140625,0.00020188432559620217,-0.002421359268199752,-0.0016304457368023773,2208.2689575195313,3312.157995605469,46.549374106559576
2020-02-14,99.12000274658203,2243.590087890625,3380.159912109375,0.0005047244565645759,0.004760554214622736,0.0018435333204338544,2207.919958496094,3314.6849853515623,46.24067623263503
2020-02-17,99.12000274658203,2242.169921875,3380.159912109375,0.0,-0.0006329881841117269,0.0,2206.8964599609376,3317.2119750976562,45.18013096778704
2020-02-18,99.45999908447266,2208.8798828125,3370.2900390625,0.0034301485923067254,-0.014847241833777391,-0.002919942636890105,2205.35595703125,3319.686975097656,44.523618218718546
2020-02-19,99.5999984741211,2210.340087890625,3386.14990234375,0.0014075949219498618,0.0006610613322557413,0.004705785881164548,2202.510461425781,3322.9069702148436,42.113087793794435
2020-02-20,99.87000274658203,2195.5,3373.22998046875,0.002710886311219074,-0.006713938715551815,-0.00381551976362815,2199.978967285156,3325.291467285156,40.85600806338918
2020-02-21,99.26000213623047,2162.840087890625,3337.75,-0.006107946265901498,-0.014875842454736943,-0.01051810302712286,2195.8144775390624,3327.40546875,40.14289238025486
2020-02-24,99.29000091552734,2079.0400390625,3225.889892578125,0.0003022242459325142,-0.038745374333177596,-0.03351362667122315,2187.4599853515624,3326.5184692382813,46.06989143731157
