date,usd_krw,kr_base_rate
2020-10-22,1133.7,0.5
2020-10-23,1134.1,0.5
2020-10-26,1134.6,0.5
2020-10-27,1129.1,0.5
2020-10-28,1127.6,0.5
2020-10-29,1129.3,0.5
2020-10-30,1133.4,0.5
2020-11-02,1130.4,0.5
2020-11-03,1134.7,0.5
2020-11-04,1134.6,0.5
2020-11-05,1136.5,0.5
2020-11-06,1130.9,0.5
2020-11-09,1124.4,0.5
2020-11-10,1115.6,0.5
2020-11-11,1115.9,0.5
2020-11-12,1112.4,0.5
2020-11-13,1113.2,0.5
2020-11-16,1115.1,0.5
2020-11-17,1108.0,0.5
2020-11-18,1106.8,0.5
2020-11-19,1105.9,0.5
2020-11-20,1112.2,0.5
2020-11-23,1114.2,0.5
2020-11-24,1112.6,0.5
2020-11-25,1111.2,0.5
2020-11-26,1107.2,0.5
2020-11-27,1105.8,0.5
2020-11-30,1104.4,0.5
2020-12-01,1104.9,0.5
2020-12-02,1107.1,0.5
2020-12-03,1103.3,0.5
2020-12-04,1098.1,0.5
2020-12-07,1086.6,0.5
2020-12-08,1082.7,0.5
2020-12-09,1084.4,0.5
2020-12-10,1083.6,0.5
2020-12-11,1086.2,0.5
2020-12-14,1089.3,0.5
2020-12-15,1090.8,0.5
2020-12-16,1093.2,0.5
2020-12-17,1092.2,0.5
2020-12-18,1092.8,0.5
2020-12-21,1097.9,0.5
2020-12-22,1101.2,0.5
2020-12-23,1106.6,0.5
2020-12-24,1108.9,0.5
2020-12-28,1103.7,0.5
2020-12-29,1098.2,0.5
2020-12-30,1093.2,0.5
2020-12-31,1088.0,0.5
2021-01-04,1088.0,0.5
2021-01-05,1083.1,0.5
2021-01-06,1086.1,0.5
2021-01-07,1086.8,0.5
2021-01-08,1087.7,0.5
2021-01-11,1094.4,0.5
2021-01-12,1097.8,0.5
2021-01-13,1099.9,0.5
2021-01-14,1095.0,0.5
2021-01-15,1100.3,0.5
2021-01-18,1097.9,0.5
2021-01-19,1104.4,0.5
2021-01-20,1102.1,0.5
2021-01-21,1100.0,0.5
2021-01-22,1099.2,0.5
2021-01-25,1102.3,0.5
2021-01-26,1103.2,0.5
2021-01-27,1103.0,0.5
2021-01-28,1104.0,0.5
2021-01-29,1114.6,0.5
2021-02-01,1117.2,0.5
2021-02-02,1118.0,0.5
2021-02-03,1116.6,0.5
2021-02-04,1114.0,0.5
2021-02-05,1116.7,0.5
2021-02-08,1124.0,0.5
2021-02-09,1119.1,0.5
2021-02-10,1116.0,0.5
2021-02-15,1110.1,0.5
2021-02-16,1103.1,0.5
2021-02-17,1099.7,0.5
2021-02-18,1107.7,0.5
2021-02-19,1105.7,0.5
2021-02-22,1107.1,0.5
2021-02-23,1106.5,0.5
2021-02-24,1110.8,0.5
2021-02-25,1110.2,0.5
2021-02-26,1108.4,0.5
2021-03-02,1121.8,0.5
2021-03-03,1121.3,0.5
2021-03-04,1122.9,0.5
2021-03-05,1126.2,0.5
2021-03-08,1129.4,0.5
2021-03-09,1131.3,0.5
2021-03-10,1141.1,0.5
2021-03-11,1140.7,0.5
2021-03-12,1137.3,0.5
2021-03-15,1130.7,0.5
2021-03-16,1135.9,0.5
2021-03-17,1132.5,0.5
2021-03-18,1131.8,0.5
2021-03-19,1123.7,0.5
2021-03-22,1131.8,0.5
2021-03-23,1131.3,0.5
2021-03-24,1128.0,0.5
2021-03-25,1133.5,0.5
2021-03-26,1134.2,0.5
2021-03-29,1131.8,0.5
2021-03-30,1131.7,0.5
2021-03-31,1133.5,0.5
2021-04-01,1132.6,0.5
2021-04-02,1129.3,0.5
2021-04-05,1127.5,0.5
2021-04-06,1127.8,0.5
2021-04-07,1122.9,0.5
2021-04-08,1116.4,0.5
2021-04-09,1118.5,0.5
2021-04-12,1117.2,0.5
2021-04-13,1124.3,0.5
2021-04-14,1126.1,0.5
2021-04-15,1119.9,0.5
2021-04-16,1117.6,0.5
2021-04-19,1117.9,0.5
2021-04-20,1118.2,0.5
2021-04-21,1113.4,0.5
2021-04-22,1117.4,0.5
2021-04-23,1116.3,0.5
2021-04-26,1118.9,0.5
2021-04-27,1114.0,0.5
2021-04-28,1110.8,0.5
2021-04-29,1112.5,0.5
2021-04-30,1107.4,0.5
2021-05-03,1109.6,0.5
2021-05-04,1119.3,0.5
2021-05-06,1121.1,0.5
2021-05-07,1125.5,0.5
2021-05-10,1121.4,0.5
2021-05-11,1114.6,0.5
2021-05-12,1119.1,0.5
2021-05-13,1123.5,0.5
2021-05-14,1130.6,0.5
2021-05-17,1129.5,0.5
2021-05-18,1133.0,0.5
2021-05-20,1133.1,0.5
2021-05-21,1132.2,0.5
2021-05-24,1126.9,0.5
2021-05-25,1127.6,0.5
2021-05-26,1122.8,0.5
2021-05-27,1118.6,0.5
2021-05-28,1118.0,0.5
2021-05-31,1116.0,0.5
2021-06-01,1113.5,0.5
2021-06-02,1107.0,0.5
2021-06-03,1110.3,0.5
2021-06-04,1111.8,0.5
2021-06-07,1117.5,0.5
2021-06-08,1111.2,0.5
2021-06-09,1113.7,0.5
2021-06-10,1115.8,0.5
2021-06-11,1115.0,0.5
2021-06-14,1111.2,0.5
2021-06-15,1116.4,0.5
2021-06-16,1117.8,0.5
2021-06-17,1117.7,0.5
2021-06-18,1129.5,0.5
2021-06-21,1132.2,0.5
2021-06-22,1135.4,0.5
2021-06-23,1132.4,0.5
2021-06-24,1135.6,0.5
2021-06-25,1135.8,0.5
2021-06-28,1128.8,0.5
2021-06-29,1129.9,0.5
2021-06-30,1130.0,0.5
2021-07-01,1129.5,0.5
2021-07-02,1132.2,0.5
2021-07-05,1134.5,0.5
2021-07-06,1130.3,0.5
2021-07-07,1131.8,0.5
2021-07-08,1137.6,0.5
2021-07-09,1143.4,0.5
2021-07-12,1148.3,0.5
2021-07-13,1146.4,0.5
2021-07-14,1145.1,0.5
2021-07-15,1150.3,0.5
2021-07-16,1143.7,0.5
2021-07-19,1141.1,0.5
2021-07-20,1145.7,0.5
2021-07-21,1151.0,0.5
2021-07-22,1150.6,0.5
2021-07-23,1151.0,0.5
2021-07-26,1149.5,0.5
2021-07-27,1153.2,0.5
2021-07-28,1150.2,0.5
2021-07-29,1154.8,0.5
2021-07-30,1147.4,0.5
2021-08-02,1147.5,0.5
2021-08-03,1151.5,0.5
2021-08-04,1150.7,0.5
2021-08-05,1145.8,0.5
2021-08-06,1143.5,0.5
2021-08-09,1142.3,0.5
2021-08-10,1145.0,0.5
2021-08-11,1148.5,0.5
2021-08-12,1155.0,0.5
2021-08-13,1158.9,0.5
2021-08-17,1167.8,0.5
2021-08-18,1174.9,0.5
2021-08-19,1172.7,0.5
2021-08-20,1174.5,0.5
2021-08-23,1176.7,0.5
2021-08-24,1174.0,0.5
2021-08-25,1168.0,0.5
2021-08-26,1166.5,0.75
2021-08-27,1168.1,0.75
2021-08-30,1170.8,0.75
2021-08-31,1164.4,0.75
2021-09-01,1162.8,0.75
2021-09-02,1157.5,0.75
2021-09-03,1159.7,0.75
2021-09-06,1156.4,0.75
2021-09-07,1157.3,0.75
2021-09-08,1157.9,0.75
2021-09-09,1164.5,0.75
2021-09-10,1170.1,0.75
2021-09-13,1170.4,0.75
2021-09-14,1174.3,0.75
2021-09-15,1172.2,0.75
2021-09-16,1171.7,0.75
2021-09-17,1169.1,0.75
2021-09-23,1177.6,0.75
2021-09-24,1181.7,0.75
2021-09-27,1175.3,0.75
2021-09-28,1175.9,0.75
2021-09-29,1182.0,0.75
2021-09-30,1184.9,0.75
2021-10-01,1185.2,0.75
